"contrast","estimate","SE","df","z.ratio","p.value"
"(same c_entrainment_ACC-0.371773778804098) - (different c_entrainment_ACC-0.371773778804098)",-2.13775261152273,1.10499004597509,Inf,-1.93463517550178,0.380816850295489
"(same c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.00484959781927833",-0.925890453742243,0.991483150641253,Inf,-0.933843861232955,0.937837643145323
"(same c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.00484959781927833",-1.01544744362359,1.10641025297014,Inf,-0.91778564135467,0.942109089720459
"(same c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.346297772286321",-1.7653062330312,1.89036551645846,Inf,-0.933843861232955,0.937837643145323
"(same c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.346297772286321",0.00203865670761863,1.72896001323931,Inf,0.00117912310985093,1
"(different c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.00484959781927833",1.21186215778049,1.01461732723832,Inf,1.1944031757067,0.839765749481959
"(different c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.00484959781927833",1.12230516789914,1.0097233140981,Inf,1.11149772638616,0.87685296106617
"(different c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.346297772286321",0.37244637849153,1.59843684636234,Inf,0.233006627280351,0.999906681511356
"(different c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.346297772286321",2.13979126823035,1.9251422809361,Inf,1.11149772638616,0.87685296106617
"same c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.00484959781927833",-0.0895569898813436,0.369447846832494,Inf,-0.242407664976725,0.999886555367702
"same c_entrainment_ACC0.00484959781927833 - same c_entrainment_ACC0.346297772286321",-0.839415779288958,0.898882365817211,Inf,-0.933843861232955,0.937837643145323
"same c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.346297772286321",0.927929110449862,1.04366931439454,Inf,0.889102609084735,0.949247128913303
"different c_entrainment_ACC0.00484959781927833 - same c_entrainment_ACC0.346297772286321",-0.749858789407614,0.921758422463463,Inf,-0.813509018342968,0.965165981756069
"different c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.346297772286321",1.01748610033121,0.915418966837998,Inf,1.11149772638616,0.87685296106617
"same c_entrainment_ACC0.346297772286321 - different c_entrainment_ACC0.346297772286321",1.76734488973882,1.03240638223026,Inf,1.71186939577117,0.523808350647282
